Time engk1       engi1       
  0.3410E-04  0.3238E+07  0.1178E+00
  0.6820E-04  0.3238E+07  0.1612E+01
  0.1023E-03  0.3237E+07  0.6784E+01
  0.1364E-03  0.3237E+07  0.1806E+02
  0.1705E-03  0.3237E+07  0.3724E+02
  0.2046E-03  0.3237E+07  0.6536E+02
  0.2387E-03  0.3237E+07  0.1026E+03
  0.2728E-03  0.3237E+07  0.1486E+03
  0.3069E-03  0.3237E+07  0.2027E+03
  0.3410E-03  0.3237E+07  0.2638E+03
  0.3751E-03  0.3237E+07  0.3306E+03
  0.4092E-03  0.3237E+07  0.4021E+03
  0.4433E-03  0.3237E+07  0.4771E+03
  0.4774E-03  0.3236E+07  0.5544E+03
  0.5115E-03  0.3236E+07  0.6328E+03
  0.5456E-03  0.3236E+07  0.7115E+03
  0.5797E-03  0.3236E+07  0.7922E+03
  0.6138E-03  0.3236E+07  0.8731E+03
  0.6479E-03  0.3236E+07  0.9537E+03
  0.6820E-03  0.3236E+07  0.1033E+04
  0.7161E-03  0.3236E+07  0.1112E+04
  0.7502E-03  0.3236E+07  0.1189E+04
  0.7843E-03  0.3235E+07  0.1264E+04
  0.8184E-03  0.3235E+07  0.1339E+04
  0.8525E-03  0.3235E+07  0.1413E+04
  0.8866E-03  0.3235E+07  0.1486E+04
  0.9207E-03  0.3235E+07  0.1560E+04
  0.9548E-03  0.3235E+07  0.1634E+04
  0.9889E-03  0.3235E+07  0.1709E+04
  0.1023E-02  0.3235E+07  0.1785E+04
  0.1057E-02  0.3235E+07  0.1868E+04
  0.1091E-02  0.3234E+07  0.1958E+04
  0.1125E-02  0.3234E+07  0.2054E+04
  0.1159E-02  0.3234E+07  0.2155E+04
  0.1193E-02  0.3234E+07  0.2260E+04
  0.1228E-02  0.3234E+07  0.2369E+04
  0.1262E-02  0.3234E+07  0.2482E+04
  0.1296E-02  0.3234E+07  0.2596E+04
  0.1330E-02  0.3234E+07  0.2712E+04
  0.1364E-02  0.3233E+07  0.2829E+04
  0.1398E-02  0.3233E+07  0.2947E+04
  0.1432E-02  0.3233E+07  0.3069E+04
  0.1466E-02  0.3233E+07  0.3196E+04
  0.1500E-02  0.3233E+07  0.3329E+04
  0.1534E-02  0.3233E+07  0.3463E+04
  0.1569E-02  0.3233E+07  0.3596E+04
  0.1603E-02  0.3232E+07  0.3729E+04
  0.1637E-02  0.3232E+07  0.3861E+04
  0.1671E-02  0.3232E+07  0.3992E+04
  0.1705E-02  0.3232E+07  0.4124E+04
  0.1739E-02  0.3232E+07  0.4255E+04
  0.1773E-02  0.3232E+07  0.4387E+04
  0.1807E-02  0.3231E+07  0.4519E+04
  0.1841E-02  0.3231E+07  0.4652E+04
  0.1875E-02  0.3231E+07  0.4785E+04
  0.1910E-02  0.3231E+07  0.4919E+04
  0.1944E-02  0.3231E+07  0.5055E+04
  0.1978E-02  0.3231E+07  0.5194E+04
  0.2012E-02  0.3231E+07  0.5339E+04
  0.2046E-02  0.3230E+07  0.5486E+04
  0.2080E-02  0.3230E+07  0.5634E+04
  0.2114E-02  0.3230E+07  0.5785E+04
  0.2148E-02  0.3230E+07  0.5938E+04
  0.2182E-02  0.3230E+07  0.6094E+04
  0.2216E-02  0.3229E+07  0.6245E+04
  0.2251E-02  0.3229E+07  0.6390E+04
  0.2285E-02  0.3229E+07  0.6535E+04
  0.2319E-02  0.3229E+07  0.6681E+04
  0.2353E-02  0.3229E+07  0.6826E+04
  0.2387E-02  0.3229E+07  0.6970E+04
  0.2421E-02  0.3228E+07  0.7111E+04
  0.2455E-02  0.3228E+07  0.7249E+04
  0.2489E-02  0.3228E+07  0.7387E+04
  0.2523E-02  0.3228E+07  0.7516E+04
  0.2557E-02  0.3228E+07  0.7647E+04
  0.2592E-02  0.3228E+07  0.7780E+04
  0.2626E-02  0.3227E+07  0.7912E+04
  0.2660E-02  0.3227E+07  0.8045E+04
  0.2694E-02  0.3227E+07  0.8176E+04
  0.2728E-02  0.3227E+07  0.8306E+04
  0.2762E-02  0.3227E+07  0.8437E+04
  0.2796E-02  0.3227E+07  0.8567E+04
  0.2830E-02  0.3226E+07  0.8697E+04
  0.2864E-02  0.3226E+07  0.8828E+04
  0.2898E-02  0.3226E+07  0.8960E+04
  0.2933E-02  0.3226E+07  0.9093E+04
  0.2967E-02  0.3226E+07  0.9227E+04
  0.3001E-02  0.3226E+07  0.9362E+04
  0.3035E-02  0.3225E+07  0.9498E+04
  0.3069E-02  0.3225E+07  0.9644E+04
  0.3103E-02  0.3225E+07  0.9796E+04
  0.3137E-02  0.3225E+07  0.9950E+04
  0.3171E-02  0.3225E+07  0.1011E+05
  0.3205E-02  0.3224E+07  0.1026E+05
  0.3239E-02  0.3224E+07  0.1042E+05
  0.3273E-02  0.3224E+07  0.1058E+05
  0.3308E-02  0.3224E+07  0.1074E+05
  0.3342E-02  0.3224E+07  0.1089E+05
  0.3376E-02  0.3224E+07  0.1105E+05
  0.3410E-02  0.3223E+07  0.1120E+05
