Time engk1       engi1       
  0.1326E-03  0.1873E+06  0.2987E+04
  0.2652E-03  0.1829E+06  0.7084E+04
  0.3978E-03  0.1807E+06  0.7209E+04
  0.5304E-03  0.1815E+06  0.6737E+04
  0.6629E-03  0.1811E+06  0.7600E+04
  0.7955E-03  0.1806E+06  0.6983E+04
  0.9281E-03  0.1821E+06  0.5151E+04
  0.1061E-02  0.1832E+06  0.5307E+04
  0.1193E-02  0.1821E+06  0.6464E+04
  0.1326E-02  0.1816E+06  0.6625E+04
  0.1458E-02  0.1812E+06  0.7628E+04
  0.1591E-02  0.1797E+06  0.9204E+04
  0.1724E-02  0.1790E+06  0.9148E+04
  0.1856E-02  0.1795E+06  0.8935E+04
  0.1989E-02  0.1790E+06  0.9754E+04
  0.2121E-02  0.1784E+06  0.9661E+04
  0.2254E-02  0.1791E+06  0.8956E+04
  0.2387E-02  0.1792E+06  0.9575E+04
  0.2519E-02  0.1781E+06  0.1064E+05
  0.2652E-02  0.1775E+06  0.1088E+05
  0.2784E-02  0.1774E+06  0.1151E+05
  0.2917E-02  0.1761E+06  0.1288E+05
  0.3050E-02  0.1753E+06  0.1291E+05
  0.3182E-02  0.1758E+06  0.1257E+05
  0.3315E-02  0.1756E+06  0.1328E+05
  0.3447E-02  0.1748E+06  0.1349E+05
  0.3580E-02  0.1751E+06  0.1308E+05
  0.3712E-02  0.1751E+06  0.1353E+05
  0.3845E-02  0.1744E+06  0.1414E+05
  0.3978E-02  0.1740E+06  0.1449E+05
  0.4110E-02  0.1735E+06  0.1524E+05
  0.4243E-02  0.1726E+06  0.1594E+05
  0.4375E-02  0.1723E+06  0.1613E+05
  0.4508E-02  0.1720E+06  0.1667E+05
  0.4641E-02  0.1713E+06  0.1713E+05
  0.4773E-02  0.1712E+06  0.1706E+05
  0.4906E-02  0.1711E+06  0.1735E+05
  0.5038E-02  0.1707E+06  0.1778E+05
  0.5171E-02  0.1704E+06  0.1801E+05
  0.5304E-02  0.1700E+06  0.1878E+05
  0.5436E-02  0.1691E+06  0.1943E+05
  0.5569E-02  0.1686E+06  0.1980E+05
  0.5701E-02  0.1681E+06  0.2046E+05
  0.5834E-02  0.1675E+06  0.2092E+05
  0.5967E-02  0.1672E+06  0.2107E+05
  0.6099E-02  0.1670E+06  0.2136E+05
  0.6232E-02  0.1667E+06  0.2166E+05
  0.6364E-02  0.1664E+06  0.2194E+05
  0.6497E-02  0.1660E+06  0.2244E+05
  0.6629E-02  0.1654E+06  0.2302E+05
  0.6762E-02  0.1649E+06  0.2350E+05
  0.6895E-02  0.1644E+06  0.2409E+05
  0.7027E-02  0.1637E+06  0.2473E+05
  0.7160E-02  0.1632E+06  0.2512E+05
  0.7292E-02  0.1629E+06  0.2541E+05
  0.7425E-02  0.1626E+06  0.2581E+05
  0.7558E-02  0.1622E+06  0.2617E+05
  0.7690E-02  0.1619E+06  0.2650E+05
  0.7823E-02  0.1614E+06  0.2714E+05
  0.7955E-02  0.1607E+06  0.2775E+05
  0.8088E-02  0.1602E+06  0.2823E+05
