Time engk1       engi1       
  0.2886E-04  0.0000E+00  0.6000E+07
  0.5772E-04  0.0000E+00  0.6000E+07
  0.8658E-04  0.0000E+00  0.6000E+07
  0.1154E-03  0.3963E+00  0.6000E+07
  0.1443E-03  0.1582E+01  0.6000E+07
  0.1732E-03  0.1134E+02  0.6000E+07
  0.2020E-03  0.4460E+02  0.6000E+07
  0.2309E-03  0.1104E+03  0.6000E+07
  0.2597E-03  0.2222E+03  0.6000E+07
  0.2886E-03  0.3846E+03  0.6000E+07
  0.3175E-03  0.6177E+03  0.5999E+07
  0.3463E-03  0.9326E+03  0.5999E+07
  0.3752E-03  0.1340E+04  0.5998E+07
  0.4040E-03  0.1840E+04  0.5998E+07
  0.4329E-03  0.2443E+04  0.5997E+07
  0.4618E-03  0.3146E+04  0.5997E+07
  0.4906E-03  0.3967E+04  0.5996E+07
  0.5195E-03  0.4934E+04  0.5995E+07
  0.5483E-03  0.6032E+04  0.5993E+07
  0.5772E-03  0.7265E+04  0.5992E+07
  0.6061E-03  0.8641E+04  0.5991E+07
  0.6349E-03  0.1024E+05  0.5989E+07
  0.6638E-03  0.1201E+05  0.5987E+07
  0.6926E-03  0.1405E+05  0.5985E+07
  0.7215E-03  0.1627E+05  0.5983E+07
  0.7504E-03  0.1861E+05  0.5980E+07
  0.7792E-03  0.2124E+05  0.5978E+07
  0.8081E-03  0.2415E+05  0.5975E+07
  0.8369E-03  0.2726E+05  0.5972E+07
  0.8658E-03  0.3070E+05  0.5968E+07
  0.8947E-03  0.3436E+05  0.5964E+07
  0.9235E-03  0.3826E+05  0.5960E+07
  0.9524E-03  0.4257E+05  0.5956E+07
  0.9812E-03  0.4723E+05  0.5951E+07
  0.1010E-02  0.5212E+05  0.5946E+07
  0.1039E-02  0.5731E+05  0.5941E+07
  0.1068E-02  0.6288E+05  0.5935E+07
  0.1097E-02  0.6886E+05  0.5929E+07
  0.1126E-02  0.7526E+05  0.5923E+07
  0.1154E-02  0.8211E+05  0.5916E+07
  0.1183E-02  0.8942E+05  0.5908E+07
  0.1212E-02  0.9735E+05  0.5900E+07
  0.1241E-02  0.1060E+06  0.5891E+07
  0.1270E-02  0.1148E+06  0.5882E+07
  0.1299E-02  0.1243E+06  0.5873E+07
  0.1328E-02  0.1341E+06  0.5863E+07
  0.1356E-02  0.1446E+06  0.5852E+07
  0.1385E-02  0.1552E+06  0.5841E+07
  0.1414E-02  0.1665E+06  0.5830E+07
  0.1443E-02  0.1779E+06  0.5819E+07
  0.1472E-02  0.1890E+06  0.5808E+07
  0.1501E-02  0.1997E+06  0.5797E+07
  0.1530E-02  0.2099E+06  0.5787E+07
  0.1558E-02  0.2198E+06  0.5778E+07
  0.1587E-02  0.2295E+06  0.5768E+07
  0.1616E-02  0.2390E+06  0.5759E+07
  0.1645E-02  0.2477E+06  0.5750E+07
  0.1674E-02  0.2557E+06  0.5742E+07
  0.1703E-02  0.2634E+06  0.5734E+07
  0.1732E-02  0.2705E+06  0.5727E+07
  0.1760E-02  0.2780E+06  0.5719E+07
  0.1789E-02  0.2854E+06  0.5711E+07
  0.1818E-02  0.2936E+06  0.5703E+07
  0.1847E-02  0.3022E+06  0.5694E+07
  0.1876E-02  0.3118E+06  0.5684E+07
  0.1905E-02  0.3224E+06  0.5673E+07
  0.1934E-02  0.3333E+06  0.5661E+07
  0.1962E-02  0.3451E+06  0.5649E+07
  0.1991E-02  0.3565E+06  0.5638E+07
  0.2020E-02  0.3672E+06  0.5627E+07
  0.2049E-02  0.3774E+06  0.5616E+07
  0.2078E-02  0.3874E+06  0.5606E+07
  0.2107E-02  0.3974E+06  0.5595E+07
  0.2136E-02  0.4072E+06  0.5585E+07
  0.2165E-02  0.4168E+06  0.5575E+07
  0.2193E-02  0.4265E+06  0.5565E+07
  0.2222E-02  0.4367E+06  0.5554E+07
  0.2251E-02  0.4472E+06  0.5543E+07
  0.2280E-02  0.4581E+06  0.5531E+07
  0.2309E-02  0.4695E+06  0.5519E+07
  0.2338E-02  0.4811E+06  0.5506E+07
  0.2367E-02  0.4928E+06  0.5494E+07
  0.2395E-02  0.5046E+06  0.5481E+07
  0.2424E-02  0.5166E+06  0.5468E+07
  0.2453E-02  0.5291E+06  0.5455E+07
  0.2482E-02  0.5422E+06  0.5441E+07
  0.2511E-02  0.5558E+06  0.5427E+07
  0.2540E-02  0.5695E+06  0.5412E+07
  0.2569E-02  0.5833E+06  0.5398E+07
  0.2597E-02  0.5974E+06  0.5383E+07
  0.2626E-02  0.6106E+06  0.5369E+07
  0.2655E-02  0.6230E+06  0.5356E+07
  0.2684E-02  0.6351E+06  0.5343E+07
  0.2713E-02  0.6470E+06  0.5330E+07
